년,월,차종별계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
2025,2,승합차,84776,35198,26206,38106,16477,16427,12558,4028,173631,24273,26001,36324,28197,35059,42193,45655,16590,661699
2025,2,화물자동차,303717,183716,160432,201107,92790,85837,73690,17311,858547,165805,166597,237196,194874,258427,325023,300032,91434,3716535
2025,2,특수자동차,11645,12534,5383,9765,4161,3941,3822,880,31759,5582,6666,8179,6079,9544,11037,11352,2163,144492
2025,3,승용차,2774761,1338361,1069536,1501933,617089,632752,518535,181140,5599177,680842,753138,997489,776322,984246,1179303,1632561,600794,21837979
2025,3,승합차,84193,34982,26087,37993,16372,16245,12518,4017,172707,24092,25885,36117,28085,34875,42041,45279,16520,658008
2025,3,화물자동차,302661,183115,159966,200824,92524,85445,73617,17317,858151,165666,166315,237176,194629,258187,324811,299741,91266,3711411
2025,3,특수자동차,11662,12503,5411,9781,4180,3958,3831,895,31832,5565,6685,8167,6104,9583,11066,11363,2188,144774
2025,4,승용차,2774168,1340471,1068299,1503198,616809,633771,519031,181204,5603287,681375,753496,998531,776477,988410,1179904,1635374,602038,21855843
2025,4,승합차,83714,34797,25900,37592,16201,16105,12460,3980,170979,23998,25690,35793,27830,34785,41799,45028,16483,653134
2025,4,화물자동차,301932,182874,159413,200147,92085,85297,73600,17256,855936,165385,166065,236883,194160,257918,324111,299316,91268,3703646
2025,4,특수자동차,11658,12500,5406,9766,4172,3948,3856,884,31905,5596,6708,8166,6128,9594,11074,11369,2186,144916
2025,5,승용차,2773311,1342750,1068374,1503222,617224,635571,519244,181571,5613156,681893,753506,999996,776541,992185,1180733,1639475,603698,21882450
2025,5,승합차,83316,34651,25807,37385,16147,16080,12430,3945,170012,23933,25594,35601,27681,34718,41702,44913,16438,650353
2025,5,화물자동차,301414,182709,159146,199908,91877,85249,73631,17223,855748,165327,165931,236888,194046,257940,323943,299333,91320,3701633
2025,5,특수자동차,11664,12516,5422,9717,4196,3944,3861,891,31995,5626,6708,8197,6166,9585,11086,11363,2190,145127
