id,year,month,region,age_group,gender,registration_count
385,2022,2,대구,30대,여성,38923
386,2022,2,대구,40대,여성,70225
387,2022,2,대구,50대,여성,90116
388,2022,2,대구,60대,여성,57926
389,2022,2,대구,70대,여성,13490
390,2022,2,대구,80대,여성,2388
391,2022,2,대구,90대이상,여성,487
392,2022,2,대전,20대,남성,10718
393,2022,2,대전,30대,남성,63569
394,2022,2,대전,40대,남성,111063
395,2022,2,대전,50대,남성,131788
396,2022,2,대전,60대,남성,100380
397,2022,2,대전,70대,남성,30757
398,2022,2,대전,80대,남성,5376
399,2022,2,대전,90대이상,남성,416
400,2022,2,대전,전체,법인및사업자,66152
401,2022,2,대전,20대,여성,6247
402,2022,2,대전,30대,여성,27908
403,2022,2,대전,40대,여성,45431
404,2022,2,대전,50대,여성,52852
405,2022,2,대전,60대,여성,33072
406,2022,2,대전,70대,여성,6813
407,2022,2,대전,80대,여성,1436
408,2022,2,대전,90대이상,여성,359
409,2022,2,부산,20대,남성,15666
410,2022,2,부산,30대,남성,111416
411,2022,2,부산,40대,남성,209101
412,2022,2,부산,50대,남성,227072
413,2022,2,부산,60대,남성,210196
414,2022,2,부산,70대,남성,72686
415,2022,2,부산,80대,남성,11885
416,2022,2,부산,90대이상,남성,1167
417,2022,2,부산,전체,법인및사업자,311088
418,2022,2,부산,20대,여성,7768
419,2022,2,부산,30대,여성,43512
420,2022,2,부산,40대,여성,77278
421,2022,2,부산,50대,여성,89726
422,2022,2,부산,60대,여성,64797
423,2022,2,부산,70대,여성,15179
424,2022,2,부산,80대,여성,2826
425,2022,2,부산,90대이상,여성,597
426,2022,2,서울,20대,남성,29257
427,2022,2,서울,30대,남성,280956
428,2022,2,서울,40대,남성,499585
429,2022,2,서울,50대,남성,537937
430,2022,2,서울,60대,남성,445913
431,2022,2,서울,70대,남성,170933
432,2022,2,서울,80대,남성,34091
433,2022,2,서울,90대이상,남성,3954
434,2022,2,서울,전체,법인및사업자,470367
435,2022,2,서울,20대,여성,16145
436,2022,2,서울,30대,여성,111126
437,2022,2,서울,40대,여성,184320
438,2022,2,서울,50대,여성,200036
439,2022,2,서울,60대,여성,141298
440,2022,2,서울,70대,여성,40671
441,2022,2,서울,80대,여성,8513
442,2022,2,서울,90대이상,여성,2206
443,2022,2,세종,20대,남성,1974
444,2022,2,세종,30대,남성,21170
445,2022,2,세종,40대,남성,43606
446,2022,2,세종,50대,남성,34454
447,2022,2,세종,60대,남성,21403
448,2022,2,세종,70대,남성,5736
449,2022,2,세종,80대,남성,918
450,2022,2,세종,90대이상,남성,63
451,2022,2,세종,전체,법인및사업자,9015
452,2022,2,세종,20대,여성,1394
453,2022,2,세종,30대,여성,10499
454,2022,2,세종,40대,여성,16620
455,2022,2,세종,50대,여성,12278
456,2022,2,세종,60대,여성,6880
457,2022,2,세종,70대,여성,1282
458,2022,2,세종,80대,여성,244
459,2022,2,세종,90대이상,여성,57
460,2022,2,울산,20대,남성,8021
461,2022,2,울산,30대,남성,50015
462,2022,2,울산,40대,남성,98519
463,2022,2,울산,50대,남성,125183
464,2022,2,울산,60대,남성,102803
465,2022,2,울산,70대,남성,26538
466,2022,2,울산,80대,남성,3320
467,2022,2,울산,90대이상,남성,229
468,2022,2,울산,전체,법인및사업자,47695
469,2022,2,울산,20대,여성,3783
